TIME,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
1990-01-01,0.6,-2.9,23.4,28.2,3.8,33.51588616020431,53.150000000000006,50.2,101.50821474854,79.7883354423099,57.27331079422853,9.445748263118462
1990-02-01,-0.1,6.5,15.5,22.5,3.8,31.36052742996158,53.4,47.8,101.55102176542499,79.7883354423099,47.09770511299416,14.940425366291802
1990-03-01,-0.4,5.8,18.7,24.9,3.8,33.384163239585114,53.3,51.0,101.581492880072,79.7883354423099,57.32563991215513,5.04139090953863
1990-03-31,-8.045161290322582,5.219354838709678,14.441935483870969,29.25483870967742,3.8,32.63324848156178,53.20322580645162,50.322580645161295,101.5990869882891,79.7883354423099,46.85319877150427,14.553585646506761
1990-04-01,-8.3,5.2,14.3,29.4,3.8,32.60821798962767,53.2,50.3,101.599673458563,79.7883354423099,46.504117400149234,14.870658804405698
1990-04-30,-9.073333333333334,3.6533333333333333,24.643333333333334,27.273333333333333,3.8,29.647061001239965,53.49,50.39666666666667,101.60630017780203,79.7883354423099,50.49571055573179,19.336989590769466
1990-05-01,-9.1,3.6,25.0,27.2,3.8,29.544952139571425,53.5,50.4,101.606528685362,79.7883354423099,50.63335169902774,19.4910009971958
1990-05-31,-9.77741935483871,3.1161290322580646,25.0,25.554838709677423,3.8,27.022604281136285,53.59677419354839,52.23870967741935,101.6028112658875,79.7883354423099,42.40041540377244,20.73433415890661
1990-06-01,-9.8,3.1,25.0,25.5,3.8,26.938526019188448,53.6,52.3,101.602687351905,79.7883354423099,42.1259841939306,20.7757785976303
1990-06-30,-21.69,2.616666666666667,22.486666666666665,26.273333333333337,3.8,25.041346577423944,53.6,47.08,101.5885762173826,79.7883354423099,27.705911568053214,18.207372170729837
1990-07-01,-22.1,2.6,22.4,26.3,3.8,24.975926596673443,53.6,46.9,101.588089626537,79.7883354423099,27.208667684402272,18.1188064318712
1990-07-31,-23.26129032258065,-5.916129032258064,19.303225806451614,24.65483870967742,3.8,21.68250833984391,53.6,53.57741935483871,101.56028975980733,79.7883354423099,83.81821646879978,34.94224695135262
1990-08-01,-23.3,-6.2,19.2,24.6,3.8,21.572727731282924,53.6,53.8,101.559363097583,79.7883354423099,85.7052014282797,35.503028302002
1990-08-31,-24.17096774193548,-7.167741935483871,28.29677419354839,23.051612903225806,3.8,21.800222125438747,56.50322580645162,56.99354838709677,101.5138924121659,79.7883354423099,47.481535545536346,26.29873884608758
1990-09-01,-24.2,-7.2,28.6,23.0,3.8,21.807805271910606,56.6,57.1,101.512376722652,79.7883354423099,46.2074133494449,25.991929197557102
1990-09-30,-33.19,-8.07,23.67,24.74,3.8,20.248878464424795,58.001666666666665,45.21,101.44976587648443,79.7883354423099,39.71500570794239,31.252542917954937
1990-10-01,-33.5,-8.1,23.5,24.8,3.8,20.19512236761494,58.05,44.8,101.447606881789,79.7883354423099,39.49112958237333,31.433943391072102
1990-11-01,-35.0,-1.4,26.2,21.5,3.8,19.439538899429323,58.5,42.7,101.37436115003,79.7883354423099,35.188506513266425,35.3734205182376
1990-12-01,-36.2,-2.2,29.0,17.1,3.8,20.91632588824017,58.599999999999994,33.3,101.29297865289,79.7883354423099,23.807788050020864,17.6290349341189
1991-01-01,-47.5,-4.6,29.1,16.7,3.8,21.6144525907378,58.7,43.6,101.19179255971001,79.7883354423099,40.164935204700036,15.7064521930864
1991-02-01,-49.1,0.5,32.5,6.2,3.8,21.56518669064543,58.65,41.7,101.06220848342,79.7883354423099,30.772839839199197,13.1655652900417
1991-03-01,-50.6,0.1,28.1,6.6,3.8,24.441025745900735,58.699999999999996,32.4,100.913202522388,79.7883354423099,43.496880864484865,10.0839644058535
1991-03-31,-63.56774193548387,-0.1903225806451613,28.583870967741937,8.438709677419356,3.8,26.994901529145338,61.02258064516129,41.20645161290323,100.76743716378091,79.7883354423099,30.650224087814024,8.945893052998175
1991-04-01,-64.0,-0.2,28.6,8.5,3.8,27.080030721920156,61.1,41.5,100.762578318494,79.7883354423099,30.22200219525833,8.90795734123633
1991-04-30,-66.12666666666668,7.05,29.856666666666666,4.923333333333333,3.8,28.7883121635913,61.245000000000005,36.86,100.62933086483532,79.7883354423099,27.378387265218194,0.3712146561233105
1991-05-01,-66.2,7.3,29.9,4.8,3.8,28.847218420200647,61.25,36.7,100.624736125054,79.7883354423099,27.28033157797543,0.0768442187056202
1991-05-31,-68.13548387096775,7.203225806451613,29.512903225806454,6.929032258064517,3.8,32.19745291303546,61.395161290322584,36.79677419354839,100.51399459691142,79.7883354423099,23.674187524710792,-2.1807519536634836
1991-06-01,-68.2,7.2,29.5,7.0,3.8,32.30912739612996,61.4,36.8,100.51030321264,79.7883354423099,23.553982722935302,-2.25600515940912
1991-06-30,-44.903333333333336,6.8133333333333335,26.793333333333333,6.903333333333334,3.8,34.22306780194222,61.690000000000005,34.48,100.42722784874452,79.7883354423099,18.243190038599224,-1.2852385028088993
1991-07-01,-44.1,6.8,26.7,6.9,3.8,34.28906574697023,61.7,34.4,100.42436318102399,79.7883354423099,18.060059256380736,-1.25176379051234
1991-07-31,-36.16451612903226,7.47741935483871,28.829032258064515,4.57741935483871,3.8,34.79271326884357,61.748387096774195,28.012903225806454,100.37104110619819,79.7883354423099,72.26331784996042,-6.571227227370712
1991-08-01,-35.9,7.5,28.9,4.5,3.8,34.809501519572684,61.75,27.8,100.369263703704,79.7883354423099,74.07009313641306,-6.74854267526599
