TIME,Cur. Construction Activity,Pred. Retail Activity,Pred. Retail Volume,Pred. Manufacturing Sell Price,GBP:USD Exchange Rate,CPI - Communications Industry,Fut. Overall Sentiment,Vehicle Registrations,Export Volume,FTSE90SMA
1992-09-30,-0.9863283179183606,-0.7863938423827058,0.7766502182399254,-0.74491757962263,-0.11511965442691413,1.552086700460455,0.36366374578799515,-0.9746710631002767,-0.19649130712357427,-0.4444289791431194
1992-10-01,-0.9693238196023907,-0.7895457578896242,0.7931783213088575,-0.745909645239068,-0.07654921333906989,1.5488475842416682,0.38698652693524277,-0.9692680867121677,-0.22331980237248306,-0.4444289791431194
1992-11-01,-1.1580038694097319,-0.21107655897284855,-0.13452810901186432,-0.5078138972939175,1.0668388559792463,1.495843864297879,0.26053771348631166,-1.054716886556197,-0.9609363015005147,-0.4444289791431194
1992-12-01,-1.6192217689387882,-0.2444497819872779,-0.9982547855173639,-0.22507519660905112,1.0487615114685709,1.495843864297879,0.29425739707269316,-0.6236690826869964,-1.2831406187732946,-0.4444289791431194
1993-01-01,-0.45918887012328313,-0.29450961650892193,-0.6143762626260307,-0.29203962571862474,1.1498192877331688,1.601851304185459,-0.01764967610133688,-0.5052931406165226,-0.2748806828976908,-0.4444289791431194
1993-02-01,0.5121639788848806,0.4230146783013093,-1.462108000677725,0.48921204722640055,1.8368923737160412,1.6901908374251087,0.3195471597624795,-0.5784560665642376,-1.0546902971728125,-0.4444289791431194
1993-03-01,0.16275647924165626,0.4285768821370476,-1.8619814620228636,0.45200958660997076,1.4098097362248465,1.7873643239887227,0.9012117016275626,-0.3614943349418206,-0.6792446390677348,-0.4444289791431194
1993-03-31,0.3859264306266834,0.4339596600426007,-2.2334768067564115,0.1783914891730035,0.8614842477764892,1.7959133110764356,0.7951578580897494,-0.7737795805733272,-0.8528301911703534,-0.4444289791431194
1993-04-01,0.3933654290061844,0.4341390859727859,-2.2458599849141963,0.16927088592510453,0.8432067314948777,1.7961982773126886,0.7916227299718225,-0.7875224220943781,-0.8586163762404407,-0.4444289791431194
1993-04-30,0.27177161913034226,0.8427756611050208,-1.7820067697538358,0.3418903031853387,1.0199008338588098,1.8047377655258556,1.05238828303984,-0.5279567967662474,-1.1283931084419898,-0.4444289791431194
1993-05-01,0.2675787291346236,0.8568665774888911,-1.76601183130003,0.34784269688396746,1.0259937339403253,1.8050322306366529,1.0613801986628753,-0.5190062579618286,-1.1376957543799744,-0.4444289791431194
1993-05-31,0.49751140631919705,0.8999288007333167,-0.5276940155215363,0.4054465068706974,1.4958353606228325,1.3604849020758352,1.0124322708761924,-0.7737137288968349,-1.0926425691250234,-0.4444289791431194
1993-06-01,0.5051758288920162,0.901364208174797,-0.48641675499558623,0.40736663387025507,1.5114967481789154,1.3456666577904768,1.0108006732833033,-0.7822039779280014,-1.0911407962831916,-0.4444289791431194
1993-06-30,0.29576426743917694,0.9228713963396517,-0.8265757794465173,-0.0026044821228008793,1.8494469734428942,1.584772327759126,0.9293114379495468,-1.3044413272791913,-1.6928003291742137,-0.4444289791431194
1993-07-01,0.28854317911321703,0.9236130235177499,-0.8383054009793085,-0.016741417157044355,1.8611004294864808,1.593017350861493,0.9265014643173491,-1.3224495117395774,-1.7135472096187316,-0.4444289791431194
1993-07-31,0.3629331629082261,1.2950246990009153,-1.147884854923932,-0.052743798398750624,1.9859050076780909,1.6186643121246191,0.8693955485662188,2.0627360616572243,-0.9936307737588906,-0.4444289791431194
1993-08-01,0.36541282903472644,1.3074050881836874,-1.1582041700554193,-0.05394387777347413,1.9900651602844777,1.6195192108333891,0.867492018041181,2.1755755807704498,-0.9696335592302291,-0.4444289791431194
1993-08-31,0.06109016805514393,1.3504673114281127,-0.7867088253218707,0.14766945718008082,1.3645853135142973,1.6366171850088058,0.8838079939700749,-0.35674581359586743,-0.9155665766178128,-0.4444289791431194
1993-09-01,0.05094607935582449,1.3519027188695936,-0.7743256471640863,0.15438990167853262,1.3437359852886255,1.637187117481318,0.884351859834372,-0.44115652674141204,-0.9137643438640657,-0.4444289791431194
1993-09-30,0.003659597737441456,1.3787867040756616,-1.052637576260303,-0.2843511171912293,0.8154447886328173,1.637187117481318,1.6666485190384255,-0.41046339254630043,-0.3405793723677483,-0.4444289791431194
1993-10-01,0.002029029405773069,1.3797137380482847,-1.0622345393325863,-0.2994801178419107,0.7972278508170988,1.637187117481318,1.693624265907531,-0.40940500860853724,-0.32081437335063395,-0.4444289791431194
1993-11-01,0.302519479098946,1.190598807633185,-0.9502699701559472,0.10974694893881684,0.5029432345449023,1.7078587440730388,1.3479975091471195,-0.3086067913026773,-0.330687554706066,-0.4444289791431194
1993-12-01,-0.30544957028026437,1.223972030647614,-0.8543003394331139,-0.5375758657870613,0.5142824383661136,1.6901908374251087,1.4828762434926457,-1.3333557086893897,-0.48390635496967044,-0.4444289791431194
1994-01-01,0.2815550291203526,1.2462208459905673,-0.1825129243732811,-0.13578929112961968,0.4153945798556571,1.1601536379872104,1.0023707523867076,0.3546443354919505,0.2928413248489129,-0.4444289791431194
1994-02-01,0.47023507892769373,0.8513043736531529,-0.34246230891133655,-0.20275372023919327,0.16648336199968145,1.0541461980996305,1.1372494867322342,-0.2897475628657056,0.4458804416893255,-0.4444289791431194
1994-03-01,0.9454292784424788,0.8568665774888911,-0.710345893348864,-0.05394387777347413,0.1562137910518357,0.6477843451972424,1.339567588250524,0.0380595337931836,0.6150384828609484,-0.4444289791431194
